"id","name","category","price","description","unit_shipping_cost"
417,"Baba Ghanoush","Sports & Outdoor",13408,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",6.951659
418,"Fattoush Salad","Music Instruments",613,"Make me a sandwich.",4.732492
419,"Prawn Pizza","Health & Hygine",10057,"Type classes first appeared in the Haskell programming language.",8.715778
420,"Maple bacon donut","Health & Hygine",6276,"Where are my pants?",8.74891
421,"Apple sauce","Health & Hygine",14693,"Ports are used to communicate with the external world.",3.0045776
422,"Pasta salad","Books",14698,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",6.845147
423,"Tin Roof Ice Cream","Office Supply",11406,"It is also a garbage-collected runtime system.",6.575332
424,"Pepperoni","Music Instruments",8765,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",7.9975276
425,"Jambalaya","Health & Hygine",11073,"The arguments can be primitive data types or compound data types.",7.5949373
426,"Matzo Ball Soup","Office Supply",11560,"Any element of a tuple can be accessed in constant time.",8.761812
427,"Onion ring","Electronics",13399,"Do you come here often?",8.052814
428,"Montreal Smoked Meat","Office Supply",1460,"Atoms are used within a program to denote distinguished values.",6.189953
429,"Potato wedges","Beauty & Personal",10572,"Atoms are used within a program to denote distinguished values.",5.166116
430,"Drunken chicken","Office Supply",10222,"She spent her earliest years reading classic literature, and writing poetry.",3.5786762
431,"Pancakes","Fashion",881,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",7.6161475
432,"Fried Green Tomatoes","Fashion",6862,"It is also a garbage-collected runtime system.",5.0984035
433,"Reuben sandwich","Sports & Outdoor",4994,"Make me a sandwich.",6.2024994
434,"Macaroni and cheese","Books",5985,"Ports are created with the built-in function open_port.",3.4733355
435,"Deep Fried Oreos","Health & Hygine",6833,"Atoms are used within a program to denote distinguished values.",2.9067054
436,"Vegemite on Toast","Video Games",793,"She spent her earliest years reading classic literature, and writing poetry.",8.398532
437,"Black Pudding","Health & Hygine",6988,"Erlang is a general-purpose, concurrent, functional programming language.",3.4237483
438,"Coq Au Vin","Office Supply",10872,"Ports are created with the built-in function open_port.",9.226812
439,"Bao","Home & Garden",4946,"Where are my pants?",9.333257
440,"Hot Chicken sandwich","Fashion",19444,"Erlang is known for its designs that are well suited for systems.",6.2935076
441,"Porterhouse Steak","Electronics",16253,"Erlang is known for its designs that are well suited for systems.",5.9791536
442,"American fried rice","Books",17109,"Tuples are containers for a fixed number of Erlang data types.",7.0909376
443,"Bacon Cheeseburger","Books",4436,"Make me a sandwich.",3.67308
444,"Chicken fried bacon","Home & Garden",17812,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",4.998536
445,"Tetrazzini","Fashion",17777,"Do you come here often?",6.5686736
446,"Tagine","Music Instruments",2724,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",4.1360707
447,"Hot Chicken sandwich","Video Games",10980,"It is also a garbage-collected runtime system.",9.367671
448,"Pigs in blankets","Electronics",19238,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",4.284181
449,"Osso Buco","Home & Garden",3465,"In 1989 the building was heavily damaged by fire, but it has since been restored.",6.148185
450,"Black Pudding","Office Supply",16812,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",6.992504
451,"Risotto","Sports & Outdoor",6344,"Where are my pants?",6.625577
452,"Pocky","Office Supply",17298,"Tuples are containers for a fixed number of Erlang data types.",6.370897
453,"Poke","Home & Garden",16782,"I don't even care.",9.048141
454,"Chocolate Chip Cookie","Office Supply",10580,"Erlang is known for its designs that are well suited for systems.",2.5895603
455,"Pepperoni Pizza","Electronics",9074,"Do you have any idea why this is not working?",3.2963307
456,"Pemmican","Fashion",2915,"She spent her earliest years reading classic literature, and writing poetry.",2.6577272
457,"Salisbury steak","Sports & Outdoor",2018,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",2.574135
458,"Thousand Island dressing","Home & Garden",13982,"Type classes first appeared in the Haskell programming language.",9.277374
459,"Baba Ghanoush","Electronics",17477,"She spent her earliest years reading classic literature, and writing poetry.",6.7330723
460,"Suckling Pig","Office Supply",8817,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",7.0586357
461,"Meatcake","Home & Garden",13976,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",3.4716058
462,"Hog fry","Video Games",17639,"It is also a garbage-collected runtime system.",8.621502
463,"Mashed pumpkin","Office Supply",15006,"Ports are used to communicate with the external world.",4.591977
464,"Creamed corn","Books",17084,"I don't even care.",7.341777
465,"Senate bean soup","Music Instruments",6819,"In 1989 the building was heavily damaged by fire, but it has since been restored.",8.399985
466,"Sausage gravy","Books",7820,"She spent her earliest years reading classic literature, and writing poetry.",5.338824
467,"Onion ring","Health & Hygine",6439,"She spent her earliest years reading classic literature, and writing poetry.",5.642264
468,"Waffle","Office Supply",10903,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",2.0565643
469,"Cornish game hen","Video Games",3374,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",8.043718
470,"Pepperoni Pizza","Books",607,"Erlang is known for its designs that are well suited for systems.",8.451019
471,"Root Beer Float","Fashion",2742,"I don't even care.",3.5034811
472,"Burnt ends","Home & Garden",4561,"Do you have any idea why this is not working?",9.434244
473,"Barbecue","Health & Hygine",743,"Do you have any idea why this is not working?",7.5215874
474,"Crab cake","Music Instruments",19399,"Ports are used to communicate with the external world.",2.7263932
475,"Rolled oyster","Office Supply",2866,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",3.899807
476,"Eggs Benedict","Music Instruments",966,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",2.996598
477,"Italian Beef Sandwich","Video Games",12993,"In 1989 the building was heavily damaged by fire, but it has since been restored.",4.6826262
478,"Popover","Video Games",11009,"Ports are used to communicate with the external world.",6.7924795
479,"Fish and Chips!","Electronics",11996,"Its main implementation is the Glasgow Haskell Compiler.",3.4828634
480,"Squab","Fashion",17804,"Tuples are containers for a fixed number of Erlang data types.",2.1068113
481,"Vichyssoise","Books",4153,"Where are my pants?",4.2675586
482,"Calamari","Sports & Outdoor",960,"In 1989 the building was heavily damaged by fire, but it has since been restored.",2.352162
483,"Chicken Salad Wrap","Beauty & Personal",10505,"Ports are used to communicate with the external world.",5.998176
484,"Pop-Tarts","Sports & Outdoor",13932,"Tuples are containers for a fixed number of Erlang data types.",5.223805
485,"Salisbury steak","Electronics",6163,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",7.521456
486,"Potato skins","Electronics",5520,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",4.0380287
487,"Surf and turf","Music Instruments",551,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",2.7826955
488,"Popover","Electronics",16335,"Tuples are containers for a fixed number of Erlang data types.",5.7398086
489,"Sweetbreads","Electronics",14880,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",7.3082213
490,"Roasted Bone Marrow","Fashion",16701,"Its main implementation is the Glasgow Haskell Compiler.",5.8150005
491,"Pickled cucumber","Office Supply",6576,"Erlang is a general-purpose, concurrent, functional programming language.",5.649579
492,"Soul food","Music Instruments",13526,"Erlang is a general-purpose, concurrent, functional programming language.",9.547321
493,"Bird's Nest Soup","Health & Hygine",4585,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",7.1253805
494,"Scampi","Video Games",8252,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",7.7503347
495,"Gyros","Music Instruments",13639,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",7.6753693
496,"Chocolate cheesecake","Music Instruments",12119,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",3.673094
497,"Boulliabaise","Home & Garden",18013,"Ports are used to communicate with the external world.",2.4623075
498,"Deviled crab","Fashion",1317,"She spent her earliest years reading classic literature, and writing poetry.",2.2256858
499,"Paella","Home & Garden",6566,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",9.527261
500,"Cheese dog","Fashion",8335,"Do you have any idea why this is not working?",4.6594243
501,"Matzo Ball Soup","Health & Hygine",8364,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",6.0027895
502,"Buffalo wing","Sports & Outdoor",4219,"The arguments can be primitive data types or compound data types.",5.6302457
503,"Huevos Rancheros","Video Games",16794,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",5.287745
504,"Cobb Salad","Beauty & Personal",6172,"The arguments can be primitive data types or compound data types.",9.201145
505,"Escargot","Music Instruments",7593,"Tuples are containers for a fixed number of Erlang data types.",6.8134947
506,"Popover","Beauty & Personal",2413,"Make me a sandwich.",3.6129558
507,"Chocolate Brownie","Books",6150,"Where are my pants?",8.117554
508,"Laksa","Health & Hygine",17772,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",5.87651
509,"Tamales","Beauty & Personal",16822,"Ports are created with the built-in function open_port.",4.967751
510,"Shucked Oysters","Office Supply",16089,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",7.0060334
511,"Potato Wedges","Home & Garden",12366,"Erlang is known for its designs that are well suited for systems.",9.184011
512,"Alphabet pasta","Music Instruments",16478,"Type classes first appeared in the Haskell programming language.",6.717297
513,"Funnel Cake","Video Games",1175,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",8.5441
514,"Steak sandwich","Books",13213,"Its main implementation is the Glasgow Haskell Compiler.",9.071701
515,"Chicken à la King","Music Instruments",16182,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",2.2659926
516,"Calas","Sports & Outdoor",1476,"Its main implementation is the Glasgow Haskell Compiler.",5.738254
517,"Scampi","Sports & Outdoor",15795,"Make me a sandwich.",7.815318
518,"Charleston red rice","Health & Hygine",12099,"Atoms are used within a program to denote distinguished values.",4.223518
519,"Texas Toast","Electronics",1891,"Its main implementation is the Glasgow Haskell Compiler.",4.5735736
520,"Lasagna","Books",10540,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",5.5901895
521,"Glorified rice","Beauty & Personal",8457,"He looked inquisitively at his keyboard and wrote another sentence.",3.3210673
522,"Buffalo Wings","Home & Garden",7939,"Do you have any idea why this is not working?",4.130431
523,"Meat Feast Pizza","Home & Garden",14493,"Its main implementation is the Glasgow Haskell Compiler.",8.269588
524,"Chicken Biryani","Health & Hygine",7008,"Where are my pants?",8.86978
525,"Bacon Cheeseburger","Health & Hygine",15686,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",8.745816
526,"Huevos Rancheros","Fashion",16773,"Erlang is known for its designs that are well suited for systems.",3.9110637
527,"Supreme pizza","Video Games",6085,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",7.5482426
528,"Chile Relleno","Electronics",4066,"I don't even care.",6.1714907
529,"Jell-O","Home & Garden",1730,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",3.3009233
530,"Corn relish","Beauty & Personal",14375,"Any element of a tuple can be accessed in constant time.",7.558842
531,"Pulled pork","Books",8730,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",9.062142
532,"Naan","Video Games",7875,"Its main implementation is the Glasgow Haskell Compiler.",7.276123
533,"Sausage gravy","Video Games",6407,"Atoms are used within a program to denote distinguished values.",2.3833702
534,"Chicago Hot Dog","Office Supply",11425,"Tuples are containers for a fixed number of Erlang data types.",3.7812383
535,"Bookbinder Soup","Fashion",3641,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",7.57714
536,"Fajita","Fashion",13966,"She spent her earliest years reading classic literature, and writing poetry.",3.1144352
537,"Abalone","Video Games",1218,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",2.1037722
538,"Maraca pie","Video Games",17392,"Tuples are containers for a fixed number of Erlang data types.",6.779041
539,"Ice Cream Sundae","Books",17402,"He looked inquisitively at his keyboard and wrote another sentence.",9.01418
540,"Pickled Okra","Office Supply",12936,"Erlang is a general-purpose, concurrent, functional programming language.",7.512157
541,"Greek salad","Video Games",4766,"Erlang is a general-purpose, concurrent, functional programming language.",2.2359178
542,"Ice cream cake","Health & Hygine",15821,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",7.5457625
543,"Philly Cheese Steak","Office Supply",16502,"Its main implementation is the Glasgow Haskell Compiler.",7.049879
544,"Bagels and Lox","Electronics",11914,"Any element of a tuple can be accessed in constant time.",8.559492
545,"Poutine","Electronics",608,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",6.877861
546,"Apple sauce","Home & Garden",15139,"Do you come here often?",9.595289
547,"Pizza strips","Books",3014,"It is also a garbage-collected runtime system.",4.7070823
548,"Doughnut","Electronics",924,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",9.283307
549,"Mashed potato","Music Instruments",1175,"Tuples are containers for a fixed number of Erlang data types.",6.6504784
550,"Banh Mi Viêt","Health & Hygine",758,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",9.747874
551,"Carne pizzaiola","Electronics",10259,"Erlang is a general-purpose, concurrent, functional programming language.",9.444768
552,"Prawn Pizza","Music Instruments",16020,"Make me a sandwich.",8.613104
553,"Ribs","Video Games",2215,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",4.8193874
554,"Chili dog","Books",13583,"Atoms are used within a program to denote distinguished values.",2.0458639
555,"Rolled oyster","Office Supply",15569,"Type classes first appeared in the Haskell programming language.",6.5959435
556,"French Dip","Electronics",15587,"It is also a garbage-collected runtime system.",4.303067
557,"Coq Au Vin","Fashion",16166,"She spent her earliest years reading classic literature, and writing poetry.",4.173529
558,"Gumbo","Beauty & Personal",4370,"Its main implementation is the Glasgow Haskell Compiler.",4.044999
559,"Roasted Chickpeas","Music Instruments",11936,"The arguments can be primitive data types or compound data types.",7.4249883
560,"St. Paul Sandwich","Office Supply",11661,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",5.1918645
561,"Margherita Pizza","Home & Garden",9083,"Haskell features a type system with type inference and lazy evaluation.",8.687798
562,"Calas","Health & Hygine",7590,"Type classes first appeared in the Haskell programming language.",6.944061
563,"Schnitzel","Music Instruments",4381,"Ports are created with the built-in function open_port.",3.3968556
564,"Chicago Deep Dish Pizza","Electronics",13648,"The arguments can be primitive data types or compound data types.",2.1164834
565,"Bulgogi","Electronics",17500,"Ports are created with the built-in function open_port.",4.4793725
566,"Turkish Delight","Office Supply",3282,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",5.4196253
567,"Currywurst","Sports & Outdoor",18675,"Haskell features a type system with type inference and lazy evaluation.",7.7512436
568,"Bulgogi","Fashion",1885,"Type classes first appeared in the Haskell programming language.",3.6168818
569,"Chili con carne","Electronics",17604,"The arguments can be primitive data types or compound data types.",2.1144147
570,"Piroshky","Home & Garden",19879,"Do you have any idea why this is not working?",7.618963
571,"Bear claw","Office Supply",3017,"He looked inquisitively at his keyboard and wrote another sentence.",5.9512415
572,"Goulash","Office Supply",13065,"Erlang is known for its designs that are well suited for systems.",6.5663176
573,"Bao","Beauty & Personal",14133,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",5.659758
574,"Reuben","Music Instruments",18396,"Erlang is known for its designs that are well suited for systems.",4.0136347
575,"Stroganoff","Office Supply",13532,"Its main implementation is the Glasgow Haskell Compiler.",3.294278
576,"Eggs Benedict","Books",6950,"Where are my pants?",7.8536468
577,"Ranch dressing","Electronics",11631,"Erlang is known for its designs that are well suited for systems.",2.8642435
578,"Chowder","Beauty & Personal",7050,"Ports are created with the built-in function open_port.",2.864874
579,"Succotash","Music Instruments",4380,"Ports are used to communicate with the external world.",3.7665634
580,"Corn flakes","Fashion",15593,"Its main implementation is the Glasgow Haskell Compiler.",2.6729743
581,"Meatcake","Books",16884,"Ports are created with the built-in function open_port.",6.9186397
582,"Mashed pumpkin","Home & Garden",12406,"Any element of a tuple can be accessed in constant time.",2.1843576
583,"Chocolate Brownie","Music Instruments",9821,"It is also a garbage-collected runtime system.",5.8501024
584,"Cobb Salad","Office Supply",18488,"The arguments can be primitive data types or compound data types.",4.7825437
585,"Sushi","Home & Garden",4383,"Its main implementation is the Glasgow Haskell Compiler.",6.2872334
586,"Bacon Cheeseburger","Electronics",9993,"The arguments can be primitive data types or compound data types.",8.933151
587,"Schnitzel","Health & Hygine",12693,"I don't even care.",4.0011005
588,"Potato skins","Beauty & Personal",10923,"Atoms are used within a program to denote distinguished values.",6.710581
589,"Carne pizzaiola","Sports & Outdoor",11269,"She spent her earliest years reading classic literature, and writing poetry.",5.477739
590,"Barbecue","Home & Garden",14212,"Atoms are used within a program to denote distinguished values.",7.383385
591,"Piroshky","Health & Hygine",12679,"He looked inquisitively at his keyboard and wrote another sentence.",8.948895
592,"Grilled Snake","Sports & Outdoor",17555,"Where are my pants?",8.452484
593,"Kimchi","Fashion",4114,"It is also a garbage-collected runtime system.",3.1185029
594,"Ranch dressing","Electronics",7201,"Tuples are containers for a fixed number of Erlang data types.",7.8367314
595,"Cheese dog","Books",1422,"Atoms are used within a program to denote distinguished values.",8.39851
596,"Corn dog","Home & Garden",19451,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",5.5416617
597,"Salmon pasta bake","Sports & Outdoor",18837,"I don't even care.",5.217552
598,"Matzo Ball Soup","Books",17537,"She spent her earliest years reading classic literature, and writing poetry.",6.179533
599,"Steak Tartare","Video Games",1084,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",9.508344
600,"Apple butter","Home & Garden",2200,"I don't even care.",4.7832093
601,"Salisbury steak","Books",8860,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",4.393094
602,"Clam cake","Books",15241,"Any element of a tuple can be accessed in constant time.",2.8904538
603,"Burnt ends","Music Instruments",18136,"Where are my pants?",9.339562
604,"Tuna Pizza","Music Instruments",14894,"Ports are used to communicate with the external world.",3.329531
605,"Mashed pumpkin","Home & Garden",12358,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",6.34657
606,"Queso Fresco","Fashion",12349,"Any element of a tuple can be accessed in constant time.",2.8071074
607,"Steak sandwich","Fashion",13882,"He looked inquisitively at his keyboard and wrote another sentence.",9.094891
608,"Hot chicken","Video Games",7663,"Ports are created with the built-in function open_port.",2.0464387
609,"Fry sauce","Books",17900,"Any element of a tuple can be accessed in constant time.",7.355824
610,"Macaroni salad","Fashion",4432,"Any element of a tuple can be accessed in constant time.",4.0283227
611,"Spaghetti and Meatballs","Electronics",2444,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",5.5722203
612,"Roasted Chickpeas","Fashion",2694,"The arguments can be primitive data types or compound data types.",3.5285847
613,"Turducken","Music Instruments",10207,"The arguments can be primitive data types or compound data types.",7.1117787
614,"Porterhouse Steak","Books",18411,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",6.2573743
615,"Fortune cookie","Fashion",19263,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",9.862142
616,"Beignets","Home & Garden",18219,"Its main implementation is the Glasgow Haskell Compiler.",9.413765
617,"Succotash","Sports & Outdoor",10236,"Haskell features a type system with type inference and lazy evaluation.",7.386331
618,"Pizza strips","Office Supply",2911,"Erlang is a general-purpose, concurrent, functional programming language.",6.359797
619,"Hawaiian haystack","Books",7429,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",5.123906
620,"Samosa","Office Supply",14907,"Erlang is known for its designs that are well suited for systems.",8.790356
621,"Potato salad","Health & Hygine",4725,"Tuples are containers for a fixed number of Erlang data types.",5.4815483
622,"Scampi","Health & Hygine",14161,"Any element of a tuple can be accessed in constant time.",7.1095614
623,"Mashed pumpkin","Video Games",16902,"She spent her earliest years reading classic literature, and writing poetry.",7.6948223
624,"Jerky","Video Games",4394,"Haskell features a type system with type inference and lazy evaluation.",9.085419
625,"Stuffed zucchini","Beauty & Personal",15629,"Where are my pants?",6.6398516
626,"Scampi","Sports & Outdoor",5150,"He looked inquisitively at his keyboard and wrote another sentence.",6.0678077
627,"Margherita Pizza","Home & Garden",2828,"He looked inquisitively at his keyboard and wrote another sentence.",2.1290946
628,"Apple butter","Video Games",6835,"Erlang is known for its designs that are well suited for systems.",2.3811743
629,"Paella","Video Games",9051,"Do you come here often?",8.827371
630,"Wasabi Peas","Fashion",1138,"Make me a sandwich.",4.6420875
631,"Falafel","Sports & Outdoor",6123,"He looked inquisitively at his keyboard and wrote another sentence.",3.5674534
632,"Barbecue","Home & Garden",10631,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",9.568536
633,"Spaghetti Bolognese","Video Games",15116,"He looked inquisitively at his keyboard and wrote another sentence.",7.063768
634,"Blue-plate special","Office Supply",9897,"Tuples are containers for a fixed number of Erlang data types.",9.68886
635,"Carne pizzaiola","Sports & Outdoor",16545,"It is also a garbage-collected runtime system.",6.480224
636,"Fried Green Tomatoes","Sports & Outdoor",4031,"Make me a sandwich.",8.483673
637,"Venison","Video Games",10347,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",4.02635
638,"Biscuit","Fashion",11012,"Atoms are used within a program to denote distinguished values.",4.3209715
639,"Spring Rolls","Fashion",5471,"Haskell features a type system with type inference and lazy evaluation.",7.8729672
640,"Chowder","Video Games",11301,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",6.135599
641,"Fried chicken","Video Games",17597,"Tuples are containers for a fixed number of Erlang data types.",4.0697026
642,"Rolled oyster","Office Supply",17522,"Do you come here often?",4.8003535
643,"Yeung Chow fried rice","Fashion",1569,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",4.3461723
644,"Fried chicken","Video Games",12392,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",9.6041
645,"Salisbury steak","Music Instruments",13659,"Do you come here often?",5.090124
646,"Massaman Curry","Home & Garden",11114,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",4.9559393
647,"Chili dog","Fashion",10682,"Make me a sandwich.",5.60525
648,"Schnitzel","Beauty & Personal",5792,"I don't even care.",9.517345
649,"Oreo","Music Instruments",12960,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",2.3232825
650,"Philadelphia cheesesteak","Beauty & Personal",7243,"I don't even care.",2.8167937
651,"Dirty rice","Video Games",6187,"Tuples are containers for a fixed number of Erlang data types.",6.5353365
652,"Sushi","Music Instruments",7710,"He looked inquisitively at his keyboard and wrote another sentence.",9.298373
653,"Po'Boy","Office Supply",14805,"Any element of a tuple can be accessed in constant time.",7.264704
654,"Hot chicken","Books",3994,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",8.961388
655,"Deviled crab","Books",5215,"Erlang is a general-purpose, concurrent, functional programming language.",7.7800083
656,"Turkish Delight","Sports & Outdoor",17878,"I don't even care.",6.514931
657,"Po'Boy","Sports & Outdoor",3038,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",2.5785713
658,"Sichuan Hot Pot","Office Supply",5940,"It is also a garbage-collected runtime system.",3.5084515
659,"Fries","Books",12043,"Any element of a tuple can be accessed in constant time.",5.727898
660,"Calas","Home & Garden",12432,"Where are my pants?",5.722431
661,"Bird's Nest Soup","Health & Hygine",8942,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",6.754971
662,"Haystack","Home & Garden",2350,"In 1989 the building was heavily damaged by fire, but it has since been restored.",8.397134
663,"Chili dog","Electronics",2241,"Ports are created with the built-in function open_port.",7.127398
664,"Ice cream cake","Home & Garden",2882,"Haskell features a type system with type inference and lazy evaluation.",5.9512615
665,"Roasted Bone Marrow","Health & Hygine",3843,"The arguments can be primitive data types or compound data types.",7.9827256
666,"Shepherd's Pie","Books",9431,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",2.1272285
667,"Black Pudding","Health & Hygine",16605,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",4.171212
668,"Potato skins","Home & Garden",3971,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",4.1984134
669,"Hog fry","Fashion",8784,"Tuples are containers for a fixed number of Erlang data types.",3.5351427
670,"Shucked Oysters","Books",8323,"Do you have any idea why this is not working?",6.2229466
671,"French Onion Soup","Video Games",6993,"Ports are created with the built-in function open_port.",3.7685099
672,"Pepperoni Pizza","Beauty & Personal",908,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",5.7063975
673,"Pastrami on Rye","Music Instruments",3301,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",8.595467
674,"Scrapple","Books",6867,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",8.002485
675,"Cobb Salad","Home & Garden",6685,"Tuples are containers for a fixed number of Erlang data types.",6.5228295
676,"Meat Feast Pizza","Music Instruments",17016,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",3.5322814
677,"Mulligan stew","Video Games",2910,"Erlang is a general-purpose, concurrent, functional programming language.",4.441399
678,"Burnt ends","Music Instruments",14044,"He looked inquisitively at his keyboard and wrote another sentence.",4.06543
679,"Deep Fried Oreos","Beauty & Personal",19162,"I don't even care.",2.1448455
680,"Clam cake","Home & Garden",16653,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",3.53927
681,"Blue cheese dressing","Video Games",17218,"Do you come here often?",9.49902
682,"Gumbo","Office Supply",5468,"Type classes first appeared in the Haskell programming language.",8.592379
683,"Pocky","Home & Garden",2760,"Where are my pants?",3.9806352
684,"Sandwich","Sports & Outdoor",7249,"She spent her earliest years reading classic literature, and writing poetry.",7.1657867
685,"Peanut butter","Beauty & Personal",17426,"The arguments can be primitive data types or compound data types.",7.307619
686,"Sweet Potato Fries","Electronics",1159,"He looked inquisitively at his keyboard and wrote another sentence.",9.236042
687,"Burnt ends","Music Instruments",1756,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",5.57683
688,"Potatoes O'Brien","Music Instruments",15367,"Its main implementation is the Glasgow Haskell Compiler.",8.66775
689,"Barbecue","Office Supply",5708,"He looked inquisitively at his keyboard and wrote another sentence.",3.666315
690,"Shrimp Creole","Beauty & Personal",17459,"Haskell features a type system with type inference and lazy evaluation.",8.955527
691,"Thousand Island dressing","Video Games",6192,"She spent her earliest years reading classic literature, and writing poetry.",9.301502
692,"Frybread","Office Supply",13728,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",3.7665105
693,"Dirty rice","Home & Garden",1409,"It is also a garbage-collected runtime system.",3.1536205
694,"Ploye","Sports & Outdoor",11171,"Erlang is known for its designs that are well suited for systems.",2.7243216
695,"Bao","Sports & Outdoor",2325,"In 1989 the building was heavily damaged by fire, but it has since been restored.",5.848666
696,"Onion Rings","Sports & Outdoor",17587,"In 1989 the building was heavily damaged by fire, but it has since been restored.",3.6865928
697,"Chicken à la King","Home & Garden",18149,"Tuples are containers for a fixed number of Erlang data types.",3.7668786
